title,company,location,link
"Scientist II, Research & Development",Thermo Fisher Scientific,"Hillsboro, OR",https://www.indeed.com/viewjob?jk=2cf7ed5d144f33a9&from=web&vjs=3
Unity Developer,rekrooting Inc,"Santa Clara, CA",https://www.indeed.com/viewjob?jk=8d8b05904c9eaf80&from=web&vjs=3
Intake Specialist Unity Center,Legacy Health,"Portland, OR",https://www.indeed.com/viewjob?jk=fdbabd0873adc344&from=web&vjs=3
Game/Unity Developer Internship,XI Media,"Orlando, FL",https://www.indeed.com/viewjob?jk=0e5dffbd0b523d30&from=web&vjs=3
Communication Director,Love Bolt,Remote,https://www.indeed.com/viewjob?jk=1912b95c9d52d20b&from=web&vjs=3
Advanced Unity Mobile Developer,Niantic,"Seattle, WA",https://www.indeed.com/viewjob?jk=48f293ed288e6213&from=web&vjs=3
Executive Chef,The Reserve Vineyards & Golf Club,"Aloha, OR",https://www.indeed.com/viewjob?jk=7b75f733a9789a6b&from=web&vjs=3
New - Internship Coordinator,BTMP,United States,https://www.indeed.com/viewjob?jk=4ed2977a7cdc6c50&from=web&vjs=3
Account Manager,None,"Milwaukie, OR",https://www.indeed.com/viewjob?jk=75a7c99e3356e145&from=web&vjs=3
Software Engineer (Unity),Pipeworks,"Eugene, OR",https://www.indeed.com/viewjob?jk=edb4a29723d17b77&from=web&vjs=3
Bluetooth Unity Developer,ShadowMaker Studios,Remote,https://www.indeed.com/viewjob?jk=0c58574fc35a830e&from=web&vjs=3
Executive Assistant,Virgin Galactic,"Long Beach, CA",https://www.indeed.com/viewjob?jk=df12ce519845ebd2&from=web&vjs=3
Account Manager,None,"Milwaukie, OR",https://www.indeed.com/viewjob?jk=75a7c99e3356e145&from=web&vjs=3
Laboratory Assistant,None,"Searcy, AR",https://www.indeed.com/viewjob?jk=8ca176927f880496&from=web&vjs=3
Director of Operations,"Stonefire Grill | Stonefire Grill, Inc","Agoura Hills, CA",https://www.indeed.com/viewjob?jk=aaba728f8872781e&from=web&vjs=3
Game Writer (Contract),"Take-Two Interactive Software, Inc.","Seattle, WA",https://www.indeed.com/viewjob?jk=f506c5b060eb1940&from=web&vjs=3
New - Internship Coordinator,BTMP,United States,https://www.indeed.com/viewjob?jk=4ed2977a7cdc6c50&from=web&vjs=3
Game Designer,Electronic Arts,"Sacramento, CA",https://www.indeed.com/viewjob?jk=c0a05203c90c4be0&from=web&vjs=3
Administrative Assistant,MIRROR MINISTRIES,"Kennewick, WA",https://www.indeed.com/viewjob?jk=86a1dbc9a7c9478a&from=web&vjs=3
3D Modeler - Hard Surface - Permanent Remote,"Webstaurant Store, Inc.","Lititz, PA",https://www.indeed.com/viewjob?jk=2b9e906402f58581&from=web&vjs=3
Speaker Event Coordinator,Forge,Remote,https://www.indeed.com/viewjob?jk=5c0c2dbde4a88143&from=web&vjs=3
"Supervisor, Prayer Line - Remote",Billy Graham Evangelistic Association,Remote,https://www.indeed.com/viewjob?jk=0d046e2cc21c307d&from=web&vjs=3
Unity Engineer - NBA,"Nifty Games, Inc.","Chicago, IL",https://www.indeed.com/viewjob?jk=91e11bc79ce71a0a&from=web&vjs=3
"Associate I, Manufacturing",Thermo Fisher Scientific,"Alachua, FL",https://www.indeed.com/viewjob?jk=f7e100d7652a73dd&from=web&vjs=3
Client Service Manager - Commercial,Thermo Fisher Scientific,"Salem, OR",https://www.indeed.com/viewjob?jk=eb89728b4bc582d5&from=web&vjs=3
Genetic Analysis Sales Representative,Thermo Fisher Scientific,"Portland, OR",https://www.indeed.com/viewjob?jk=c12981a11b476045&from=web&vjs=3
Mobile SDK Intern,None,California,https://www.indeed.com/viewjob?jk=f6f69af45a7fb9f6&from=web&vjs=3
Formulation Technician II,Thermo Fisher Scientific,"Greenville, NC",https://www.indeed.com/viewjob?jk=d2d406deeaeebef1&from=web&vjs=3
"Epic, Cerner, McKesson, GE/IDX, MEDITECH and other EMR/EHR",Cygnet,United States,https://www.indeed.com/viewjob?jk=b7bd4455cfe2be14&from=web&vjs=3
Unity Developer (Remote),Duelit,Remote,https://www.indeed.com/viewjob?jk=66b31aaa3b19c716&from=web&vjs=3
Junior Programmer,Glyph Software,"San Francisco, CA",https://www.indeed.com/viewjob?jk=6a2ece2c334fca06&from=web&vjs=3
3D Character Modeler (Contingent),SuperGenius,"Oregon City, OR",https://www.indeed.com/viewjob?jk=a522c42c53455d4a&from=web&vjs=3
Mobile Game Producer,Tic Toc Games,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=8f46be56dbfe5f0e&from=web&vjs=3
"Structural Engineer, ENTRY",Aevum,"Denver, CO",https://www.indeed.com/viewjob?jk=5c97ef0a146f062c&from=web&vjs=3
Software QA Tester - R-345,Consumer Direct Care Network,"Missoula, MT",https://www.indeed.com/viewjob?jk=573f244cdd16b9cd&from=web&vjs=3
Emergency Management Training and Exercise Coordinator,City of Seattle,"Seattle, WA",https://www.indeed.com/viewjob?jk=a2186fbf0cfb0a79&from=web&vjs=3
Apprentice & Journeymen,None,"Shoreline, WA",https://www.indeed.com/viewjob?jk=20c403551bd5755c&from=web&vjs=3
Unreal VFX Artist,Future House Studios,Remote,https://www.indeed.com/viewjob?jk=00e4e800f013ac57&from=web&vjs=3
Video Editor (PT),BlenderBottle,"Lehi, UT",https://www.indeed.com/viewjob?jk=0d9b58cce85ecedd&from=web&vjs=3
Unity Developer (Entry Level),Jackson Dawson,"Dearborn, MI",https://www.indeed.com/viewjob?jk=07c7d29453147e6b&from=web&vjs=3
"Financial Analyst, Create Solutions and Strategic Partnerships",ChilliConnect,Remote,https://www.indeed.com/viewjob?jk=e0ef78d3c5004c29&from=web&vjs=3
Senior Unity Developer,Fiveamp,Remote,https://www.indeed.com/viewjob?jk=fd18632bde70404d&from=web&vjs=3
Associate Artist,Sharecare Inc,"Sarasota, FL",https://www.indeed.com/viewjob?jk=e94918edc00a652d&from=web&vjs=3
Unity 3D Software Engineer,Bling,Remote,https://www.indeed.com/viewjob?jk=05260b951531bfa2&from=web&vjs=3
Customer Service Representative,East Boston Neighborhood Health Center,"Revere, MA",https://www.indeed.com/viewjob?jk=d95aa70c9ffe5c6c&from=web&vjs=3
Knowledge Management Associate,Velocity Global,United States,https://www.indeed.com/viewjob?jk=7897ffb1b3c5b0e5&from=web&vjs=3
Unity Game Developer,The Navalua Family,"Gilbert, AZ",https://www.indeed.com/viewjob?jk=20604fe1495fafc2&from=web&vjs=3
Immersive Developer Internship,Daimler,"Portland, OR",https://www.indeed.com/viewjob?jk=bed8c92cbbed64fc&from=web&vjs=3
"Associate Producer - MetaTeq, Purpose-Driven Games",Pipeworks,"Eugene, OR",https://www.indeed.com/viewjob?jk=6c9b6315bfc296c6&from=web&vjs=3
Campus Pastor,Warner Pacific University,"Portland, OR",https://www.indeed.com/viewjob?jk=257fcab13b4ed10a&from=web&vjs=3
Sound Designer - Turn 10 Studios,Microsoft,"Redmond, WA",https://www.indeed.com/viewjob?jk=c575b4161f914622&from=web&vjs=3
Game Designer I Intern,"Amazon Web Services, Inc.","Irvine, CA",https://www.indeed.com/viewjob?jk=35afc10f8a0c16ba&from=web&vjs=3
Sr Onbase Developer,Stack Nexus INC,Remote,https://www.indeed.com/viewjob?jk=562d2633c34375f2&from=web&vjs=3
"Research Intern, Real Time Simulation",Facebook,Remote,https://www.indeed.com/viewjob?jk=43e94dd7d61c89b3&from=web&vjs=3
"Senior Manager, Recruiting",Salesforce,Remote,https://www.indeed.com/viewjob?jk=ac965f81c6f8a871&from=web&vjs=3
Senior Unity Engineer,Harebrained Schemes,"Kirkland, WA",https://www.indeed.com/viewjob?jk=f9cb6ca6a7f3de59&from=web&vjs=3
New - Pipelines Corporate Sponsor Liaison,BTMP,United States,https://www.indeed.com/viewjob?jk=52d832f82ae7d857&from=web&vjs=3
Women's Ministry Fellow at UPenn,Christian Union Inc,United States,https://www.indeed.com/viewjob?jk=70aeaec9db52010e&from=web&vjs=3
Unity Developer,The Aerospace Corporation,"El Segundo, CA",https://www.indeed.com/viewjob?jk=cde3be081f02712e&from=web&vjs=3
Unity 2D Animator (Remote Contract),Cie,"Irvine, CA",https://www.indeed.com/viewjob?jk=8ac2ab8dfb23b3e0&from=web&vjs=3
Senior Unity Engineer,Harebrained Schemes,"Kirkland, WA",https://www.indeed.com/viewjob?jk=f9cb6ca6a7f3de59&from=web&vjs=3
New - Pipelines Corporate Sponsor Liaison,BTMP,United States,https://www.indeed.com/viewjob?jk=52d832f82ae7d857&from=web&vjs=3
Women's Ministry Fellow at UPenn,Christian Union Inc,United States,https://www.indeed.com/viewjob?jk=70aeaec9db52010e&from=web&vjs=3
Unity Developer,The Aerospace Corporation,"El Segundo, CA",https://www.indeed.com/viewjob?jk=cde3be081f02712e&from=web&vjs=3
Unity 2D Animator (Remote Contract),Cie,"Irvine, CA",https://www.indeed.com/viewjob?jk=8ac2ab8dfb23b3e0&from=web&vjs=3
Software Engineer,Valkyrie Entertainment,"Seattle, WA",https://www.indeed.com/viewjob?jk=925ccb5e16da61c4&from=web&vjs=3
Wildland Fire Suppression Specialist,Forestry Department,"Pendleton, OR",https://www.indeed.com/viewjob?jk=8dc1bf389f1c920b&from=web&vjs=3
Executive Sourcer,None,California,https://www.indeed.com/viewjob?jk=8e93fe29c316b8bd&from=web&vjs=3
Unity (VR) Software Developer,BadVR,Remote,https://www.indeed.com/viewjob?jk=1d993229551dadf7&from=web&vjs=3
Unity Developer,Xforia Inc,"Santa Clara, CA",https://www.indeed.com/viewjob?jk=f742e8aa34fa5fdb&from=web&vjs=3
Airline Customer Service Representative - Part Time - BWI,Corporate Flight Management Inc,"Baltimore, MD",https://www.indeed.com/viewjob?jk=01e4c8f4f455768a&from=web&vjs=3
"Engineer, Desktop I",MSC Industrial Supply,"Davidson, NC",https://www.indeed.com/viewjob?jk=e5a68f9300654a95&from=web&vjs=3
Vice President of Operations,Greater Tampa Realtors,"Tampa, FL",https://www.indeed.com/viewjob?jk=cb0d726427cd95f1&from=web&vjs=3
vCIO,Convergence Networks,"Milwaukie, OR",https://www.indeed.com/viewjob?jk=fd417c42808515fa&from=web&vjs=3
Closing Manager - REMOTE,Caliber Home Loans,Remote,https://www.indeed.com/viewjob?jk=e15158aedcfd5bb8&from=web&vjs=3
Inventory Control Specialist-Remote US,Thermo Fisher Scientific,"Madison, WI",https://www.indeed.com/viewjob?jk=f3c9b56375cf574b&from=web&vjs=3
Student Financial Services Assistant,Warner Pacific University,"Portland, OR",https://www.indeed.com/viewjob?jk=065cc5080195050f&from=web&vjs=3
Remote Associate Art Director,Magic Fuel Games,Remote,https://www.indeed.com/viewjob?jk=97dd261c01aa5746&from=web&vjs=3
Administrative Coordinator II,Thermo Fisher Scientific,"Greenville, NC",https://www.indeed.com/viewjob?jk=41a87069d90e1ca6&from=web&vjs=3
Senior Unity Engineer - NBA,"Nifty Games, Inc.","Chicago, IL",https://www.indeed.com/viewjob?jk=82cf6e15b6d3a4ca&from=web&vjs=3
Patient Registration Clerk,None,"Washington, DC",https://www.indeed.com/viewjob?jk=d3ba40ee99faa752&from=web&vjs=3
Senior Engineer - Unity,PlayEveryWare,"Seattle, WA",https://www.indeed.com/viewjob?jk=bdf20f72cde055a5&from=web&vjs=3
Operator II,Thermo Fisher Scientific,"Greenville, NC",https://www.indeed.com/viewjob?jk=eb832b0b7c2f2bd5&from=web&vjs=3
3D Design Visualization Specialist,"Gannett Fleming, Inc.","Chicago, IL",https://www.indeed.com/viewjob?jk=2162e2a429afb1c8&from=web&vjs=3
Unity Developer,Groove Jones LLC,"Dallas, TX",https://www.indeed.com/viewjob?jk=82097c3991d309b4&from=web&vjs=3
Intern - Mixed Reality [Summer 2021],Trigger Global Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=ac65c1f1f3886ef4&from=web&vjs=3
Visual FX Artist - Unity/Unreal,Cosmic Games ULC,"Dallas, TX",https://www.indeed.com/viewjob?jk=f203b51c689a6550&from=web&vjs=3
Illustrator,Boss Fight Entertainment,"Allen, TX",https://www.indeed.com/viewjob?jk=6d61ea394841e9ce&from=web&vjs=3
Program Manager,Thermo Fisher Scientific,"Salem, OR",https://www.indeed.com/viewjob?jk=3ce0d508c678ed64&from=web&vjs=3
Game Designer II - Halo,Microsoft,"Redmond, WA",https://www.indeed.com/viewjob?jk=bd2cf3c61066cbb9&from=web&vjs=3
Unity Developer,Competition Interactive-Virtual Sports,"Las Vegas, NV",https://www.indeed.com/viewjob?jk=d980d5fc2cc28ce4&from=web&vjs=3
Assistant Professor,Oregon Health & Science University,"Portland, OR",https://www.indeed.com/viewjob?jk=eee0122a239d5786&from=web&vjs=3
HR Generalist,Aevum,"Denver, CO",https://www.indeed.com/viewjob?jk=a38839ef947b392c&from=web&vjs=3
Previz Animator & Layout Artist,Mousetrappe,"Burbank, CA",https://www.indeed.com/viewjob?jk=e06c5688b210953a&from=web&vjs=3
Intake Support Associate,Seattle's Union Gospel Mission,"Kent, WA",https://www.indeed.com/viewjob?jk=391b9f28e32d2c3d&from=web&vjs=3
Practice Manager I,Advantage Dental Oral Health Center,"Albany, OR",https://www.indeed.com/viewjob?jk=7c22eb1c2b3e2ea4&from=web&vjs=3
Unity Developer- Mid Level,Circadence Corporation,"Orlando, FL",https://www.indeed.com/viewjob?jk=55fff8612f75f284&from=web&vjs=3
Unity Game/Interactive Programmer,Falcon's Creative Group,"Orlando, FL",https://www.indeed.com/viewjob?jk=b18b93cc1cda58a8&from=web&vjs=3
Unity Engineer (Mid-level or Senior),Age of Learning,"Glendale, CA",https://www.indeed.com/viewjob?jk=72085937d0285808&from=web&vjs=3
"Learning Facilitator, Unity Platform (Part-time)",Kirkwood Community College,Iowa,https://www.indeed.com/viewjob?jk=09894371f9a2dcc1&from=web&vjs=3
MarTech Analytics Manager,Thermo Fisher Scientific,"Salem, OR",https://www.indeed.com/viewjob?jk=a5c4930b5ac766b5&from=web&vjs=3
Program Manager,DEPT OF YOUTH & COMM DEV SRVS,"Manhattan, NY",https://www.indeed.com/viewjob?jk=7bf6f8f3b07c6ce1&from=web&vjs=3
Payroll Coordinator,Consumer Direct Care Network,"Missoula, MT",https://www.indeed.com/viewjob?jk=5ca79e7b8aff9292&from=web&vjs=3
Producer,Pipeworks,"Eugene, OR",https://www.indeed.com/viewjob?jk=18562647acfbb41d&from=web&vjs=3
Unity Developer,KCI MEDIA7,"Detroit, MI",https://www.indeed.com/viewjob?jk=20d282b4b693098d&from=web&vjs=3
Testing Manager (UAT) - REMOTE - R-407,Consumer Direct Care Network,Remote,https://www.indeed.com/viewjob?jk=e632739a5853edf5&from=web&vjs=3
Strategic Initiatives Manager,"Heartland Dental, LLC",Remote,https://www.indeed.com/viewjob?jk=6f38c6306fb48cf4&from=web&vjs=3
SECRETARY II,Prince William County Public Schools,"Manassas, VA",https://www.indeed.com/viewjob?jk=bd55de7fbaa150bd&from=web&vjs=3
"Audio Experiences Prototyper, Facebook Reality Labs Research",Facebook,"Redmond, WA",https://www.indeed.com/viewjob?jk=e81e5e4c92c3be83&from=web&vjs=3
Customer Service Representative,Maax Bath Inc,"Bellingham, WA",https://www.indeed.com/viewjob?jk=b9b5f5a5ab23a02a&from=web&vjs=3
Senior Software Technician Apprentice,LOCKHEED MARTIN CORPORATION,"Orlando, FL",https://www.indeed.com/viewjob?jk=ed52a8e302ab2353&from=web&vjs=3
DE ADJ Marine Fisheries,None,Maine,https://www.indeed.com/viewjob?jk=82fc097ae68781b8&from=web&vjs=3
Senior Talent & Development Project Manager,ChilliConnect,Remote,https://www.indeed.com/viewjob?jk=2bdb417b3cac8ec5&from=web&vjs=3
eLearning Simulation & Game Instructional Designer,"Designing Digitally, Inc.",Remote,https://www.indeed.com/viewjob?jk=858d926c56130331&from=web&vjs=3
Unity Game Solution Engineer IV-1 (Lead Unity Game Solution Engineer),Big Fish Games,"Seattle, WA",https://www.indeed.com/viewjob?jk=da8c6f4e2b683eae&from=web&vjs=3
Avatar Artist,Genies,California,https://www.indeed.com/viewjob?jk=adc87d759c64256a&from=web&vjs=3
VR Development Internship,Rexroth,"Bethlehem, PA",https://www.indeed.com/viewjob?jk=d81698b3baca7a59&from=web&vjs=3
Technical Writer,Thermo Fisher Scientific,"Salem, OR",https://www.indeed.com/viewjob?jk=7ec13353f39433dc&from=web&vjs=3
Data Reviewer,Thermo Fisher Scientific,"High Point, NC",https://www.indeed.com/viewjob?jk=aabafd52f3c39e0c&from=web&vjs=3
FBH Family Support Specialist,CCSWW,"Vancouver, WA",https://www.indeed.com/viewjob?jk=4ebc636cbdacb42c&from=web&vjs=3
Unity Animator,IM3 Gaming Studios,"Herndon, VA",https://www.indeed.com/viewjob?jk=245da2bacdc7b122&from=web&vjs=3
QC Scientist I,Thermo Fisher Scientific,"Greenville, NC",https://www.indeed.com/viewjob?jk=78371762c3f098f3&from=web&vjs=3
Education Programs Intern,None,Texas,https://www.indeed.com/viewjob?jk=6aa8234ff7ca32b2&from=web&vjs=3
3D Generalist - Seasonal/Remote,Visual Purple,Remote,https://www.indeed.com/viewjob?jk=d0ab7d7d26a4858f&from=web&vjs=3
Crisis Intervention Specialist,Legacy Health,"Portland, OR",https://www.indeed.com/viewjob?jk=f6f0b6c1d3b4a00d&from=web&vjs=3
Senior Art Development Director,WaveVR,Remote,https://www.indeed.com/viewjob?jk=7b6b1a0f8d8aa7df&from=web&vjs=3
Patient Registration Clerk,None,"Washington, DC",https://www.indeed.com/viewjob?jk=a418dda6bc87c84c&from=web&vjs=3
Technical Project Manager,Holomeeting,Remote,https://www.indeed.com/viewjob?jk=d27e66b90ffdaf9e&from=web&vjs=3
"After Effects Compositor, Interactive (Play Noggin - Preschool)",Viacom,"New York, NY",https://www.indeed.com/viewjob?jk=a604ab2979a34ea8&from=web&vjs=3
C# Unity Xcode App Developer,HFC MEDIA,"Huntington Beach, CA",https://www.indeed.com/viewjob?jk=26bddc9a422c501d&from=web&vjs=3
Unity Developer,Full Swing Golf Inc,"Carlsbad, CA",https://www.indeed.com/viewjob?jk=f8ef8e7a45916fea&from=web&vjs=3
"OR - Umatilla, Union, Baker County Mortgage Field Services",FAR Inspections,"Hermiston, OR",https://www.indeed.com/viewjob?jk=cc19e2c24b2d8f62&from=web&vjs=3
Receptionist/Administrative Assistant,Sowins Real Estate & Property Management,"Warrenton, OR",https://www.indeed.com/viewjob?jk=bf7cc2b7ad117e03&from=web&vjs=3
Sr. Collaboration Engineer (Federal),"World Wide Technology, Inc.",Remote,https://www.indeed.com/viewjob?jk=2c415788c0d36a92&from=web&vjs=3
Quality Assurance Analyst,Age of Learning,"Glendale, CA",https://www.indeed.com/viewjob?jk=6fef252ffe23f548&from=web&vjs=3
Acoustics Consulting Intern - Available June 2021 (Various US Locations),Arup,"New York, NY",https://www.indeed.com/viewjob?jk=37a013e462459702&from=web&vjs=3
Game Developer,GROVER GAMING,"Greenville, NC",https://www.indeed.com/viewjob?jk=e3c5fe67907569c7&from=web&vjs=3
Industry Partnership Manager,Coursera,"Mountain View, WA",https://www.indeed.com/viewjob?jk=58cdf9b924a13cd2&from=web&vjs=3
Audio Engineer,James River Church,"Ozark, MO",https://www.indeed.com/viewjob?jk=fd448976cd79886b&from=web&vjs=3
Designer 2,Microsoft,"Redmond, WA",https://www.indeed.com/viewjob?jk=f25fd4fee7a12786&from=web&vjs=3
Athletic Coordinator,Valor Public Schools,"Austin, TX",https://www.indeed.com/viewjob?jk=8a61c2e34ad5d48a&from=web&vjs=3
IT Specialist,None,"Springfield, VA",https://www.indeed.com/viewjob?jk=8339bcaa8178aab2&from=web&vjs=3
Program Director KROC -E - Community Relations and Development,The Salvation Army,"Memphis, TN",https://www.indeed.com/viewjob?jk=84ea523315506c59&from=web&vjs=3
Formulation Technician II (PFS - 12 Hour Days),Thermo Fisher Scientific,"Greenville, NC",https://www.indeed.com/viewjob?jk=159781b3ff57ef8b&from=web&vjs=3
Education Programs Intern,ChilliConnect,Remote,https://www.indeed.com/viewjob?jk=c875ca568da6d893&from=web&vjs=3
3D Artist - Contractor,Level Ex,Remote,https://www.indeed.com/viewjob?jk=e266072daa3bfcad&from=web&vjs=3
WTG Engineer for Offshore Project,PEAK Wind,Remote,https://www.indeed.com/viewjob?jk=11fc8b22d09e7199&from=web&vjs=3
Administrative Assistant,None,"Washington, DC",https://www.indeed.com/viewjob?jk=04123fb9f51864ec&from=web&vjs=3
Game Engineer (Mobile Indie Game),DropBears Games,Remote,https://www.indeed.com/viewjob?jk=271ce136b1ef016e&from=web&vjs=3
Process Technician,"Chemsolv, Inc.","Eden, NC",https://www.indeed.com/viewjob?jk=529db50cacdc9c0a&from=web&vjs=3
Lead Line Cook,Capital Manor Inc,"Salem, OR",https://www.indeed.com/viewjob?jk=cbacd3e6bbd0d0e4&from=web&vjs=3
UI Designer (Mobile Indie Game),DropBears Games,Remote,https://www.indeed.com/viewjob?jk=c67d1c32a73b10be&from=web&vjs=3
Unity Game Developer (Defense & AI),Rhombus Power,"Mountain View, CA",https://www.indeed.com/viewjob?jk=994fc32a1ed60ed0&from=web&vjs=3
"Sr Manager, Field Service (US REMOTE)",Thermo Fisher Scientific,"Salem, OR",https://www.indeed.com/viewjob?jk=2ae21f667a4f0321&from=web&vjs=3
